Id,Total
1000000US410510005011004,25
1000000US410510005011005,14
1000000US410510005011006,23
1000000US410510005011007,19
1000000US410510005011008,20
1000000US410510005011009,43
1000000US410510005011010,7
1000000US410510005011011,13
1000000US410510005011012,18
1000000US410510005011013,16
1000000US410510005011014,26
1000000US410510005011015,9
1000000US410510005011016,7
1000000US410510005011017,16
1000000US410510005011018,7
1000000US410510005011019,8
1000000US410510005011020,23
1000000US410510005012000,12
1000000US410510005012001,6
1000000US410510005012002,23
1000000US410510005012003,5
1000000US410510005012004,10
1000000US410510005012005,15
1000000US410510005012006,13
1000000US410510005012007,14
1000000US410510005012008,14
1000000US410510005012009,28
1000000US410510005012010,12
1000000US410510005012011,6
1000000US410510005012012,6
1000000US410510005012013,22
1000000US410510005012014,19
1000000US410510005012015,28
1000000US410510005012016,11
1000000US410510005012017,6
1000000US410510005012018,12
1000000US410510005012019,15
1000000US410510005012020,11
1000000US410510005012021,22
1000000US410510005012022,22
1000000US410510005012023,40
1000000US410510005012024,4
1000000US410510005012025,14
1000000US410510005012026,7
1000000US410510005012027,8
1000000US410510005013000,9
1000000US410510005013001,10
1000000US410510005013002,10
1000000US410510005013003,9
1000000US410510005013004,10
1000000US410510005013005,9
1000000US410510005013006,10
1000000US410510005013007,9
1000000US410510005013008,14
1000000US410510005013009,13
1000000US410510005013010,13
1000000US410510005013011,14
1000000US410510005013012,13
1000000US410510005013013,10
1000000US410510005013014,13
1000000US410510005013015,8
1000000US410510005013016,8
1000000US410510005013017,17
1000000US410510005013018,17
1000000US410510005013019,19
1000000US410510005013020,14
1000000US410510005013021,24
1000000US410510005013022,16
1000000US410510005013023,17
1000000US410510005013024,11
1000000US410510005013025,13
1000000US410510005013026,15
1000000US410510005013027,12
1000000US410510005013028,11
1000000US410510005013029,8
1000000US410510005013030,9
1000000US410510005013031,9
1000000US410510005013032,11
1000000US410510005013033,10
1000000US410510005013034,9
1000000US410510005013035,9
1000000US410510005014000,17
1000000US410510005014001,15
1000000US410510005014002,44
1000000US410510005014003,1
1000000US410510005014004,11
1000000US410510005014005,19
1000000US410510005014006,7
1000000US410510005014007,9
1000000US410510005014008,12
1000000US410510005014009,13
1000000US410510005014010,11
1000000US410510005014011,13
1000000US410510005014012,7
1000000US410510005014013,13
1000000US410510005014014,16
1000000US410510005014015,0
1000000US410510005014016,19
1000000US410510005014017,16
1000000US410510005014018,13
1000000US410510005014019,12
1000000US410510005014020,19
1000000US410510005014021,16
1000000US410510005014022,25
1000000US410510005014023,13
1000000US410510005014024,8
1000000US410510005014025,12
1000000US410510005014026,11
1000000US410510005014027,26
1000000US410510005014028,12
1000000US410510005021000,43
1000000US410510005021001,23
1000000US410510005021002,19
1000000US410510005021003,10
1000000US410510005021004,26
1000000US410510005021005,17
1000000US410510005021006,5
1000000US410510005021007,4
1000000US410510005021008,20
1000000US410510005021009,26
1000000US410510005021010,20
1000000US410510005021011,19
1000000US410510005021012,16
1000000US410510005021013,8
1000000US410510005021014,17
1000000US410510005021015,15
1000000US410510005021016,10
1000000US410510005021017,24
1000000US410510005021018,22
1000000US410510005021019,15
1000000US410510005021020,35
1000000US410510005021021,0
1000000US410510005021022,1
1000000US410510005021023,4
1000000US410510005022000,10
1000000US410510005022001,0
1000000US410510005022002,67
1000000US410510005022003,26
1000000US410510005022004,24
1000000US410510005022005,18
1000000US410510005022006,24
1000000US410510005022007,22
1000000US410510005022008,22
