GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US410510001007012,410510001007012,"Block 7012, Block Group 7, Census Tract 1, Multnomah County, Oregon",22
1000000US410510001007013,410510001007013,"Block 7013, Block Group 7, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001007014,410510001007014,"Block 7014, Block Group 7, Census Tract 1, Multnomah County, Oregon",27
1000000US410510001007015,410510001007015,"Block 7015, Block Group 7, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001007016,410510001007016,"Block 7016, Block Group 7, Census Tract 1, Multnomah County, Oregon",23
1000000US410510001007017,410510001007017,"Block 7017, Block Group 7, Census Tract 1, Multnomah County, Oregon",10
1000000US410510001007018,410510001007018,"Block 7018, Block Group 7, Census Tract 1, Multnomah County, Oregon",18
1000000US410510001007019,410510001007019,"Block 7019, Block Group 7, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001007020,410510001007020,"Block 7020, Block Group 7, Census Tract 1, Multnomah County, Oregon",12
1000000US410510001007021,410510001007021,"Block 7021, Block Group 7, Census Tract 1, Multnomah County, Oregon",6
1000000US410510001007022,410510001007022,"Block 7022, Block Group 7, Census Tract 1, Multnomah County, Oregon",21
1000000US410510001007023,410510001007023,"Block 7023, Block Group 7, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001007024,410510001007024,"Block 7024, Block Group 7, Census Tract 1, Multnomah County, Oregon",22
1000000US410510001007025,410510001007025,"Block 7025, Block Group 7, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001007026,410510001007026,"Block 7026, Block Group 7, Census Tract 1, Multnomah County, Oregon",49
1000000US410510001007027,410510001007027,"Block 7027, Block Group 7, Census Tract 1, Multnomah County, Oregon",0
1000000US410510002001000,410510002001000,"Block 1000, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001001,410510002001001,"Block 1001, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001002,410510002001002,"Block 1002, Block Group 1, Census Tract 2, Multnomah County, Oregon",14
1000000US410510002001003,410510002001003,"Block 1003, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001004,410510002001004,"Block 1004, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001005,410510002001005,"Block 1005, Block Group 1, Census Tract 2, Multnomah County, Oregon",52
1000000US410510002001006,410510002001006,"Block 1006, Block Group 1, Census Tract 2, Multnomah County, Oregon",103
1000000US410510002001007,410510002001007,"Block 1007, Block Group 1, Census Tract 2, Multnomah County, Oregon",4
1000000US410510002001008,410510002001008,"Block 1008, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001009,410510002001009,"Block 1009, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001010,410510002001010,"Block 1010, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001011,410510002001011,"Block 1011, Block Group 1, Census Tract 2, Multnomah County, Oregon",50
1000000US410510002001012,410510002001012,"Block 1012, Block Group 1, Census Tract 2, Multnomah County, Oregon",57
1000000US410510002001013,410510002001013,"Block 1013, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002001014,410510002001014,"Block 1014, Block Group 1, Census Tract 2, Multnomah County, Oregon",0
